game_id,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
r7FgehPJbtZPJf2uv,nfLBoTkh6HezWaWik,6,1,page2-140.svg,False,1.0,high,single-utterance-unidirectional,118,114,"['page1-117.svg', 'page6-206.svg', 'page1-30.svg', 'page7-81.svg', 'page9-39.svg', 'page8-247.svg', 'page2-140.svg', 'page6-228.svg', 'page1-185.svg', 'page3-33.svg']",7.0,a boat with no sails and 2 small triangles at each end,12.0,26.0,"(33,)",page2-140.svg,True
6oDZZokaTPbFbFyxq,nE9pWfCNW9C7joqZN,9,1,page1-95.svg,True,1.0,high,single-utterance-unidirectional,56,101,"['page7-166.svg', 'page1-95.svg', 'page5-153.svg', 'page4-190.svg', 'page7-202.svg', 'page7-126.svg', 'page3-61.svg', 'page2-16.svg', 'page5-96.svg', 'page7-127.svg']",20.0,LOOKS LIKE TWO MUSTACHES,4.0,28.0,"(46,)",page1-95.svg,True
nyKhaA53drqLC7Rzk,yQhBoYeQf6kw8SCcH,15,2,page6-245.svg,True,1.0,high,single-utterance-unidirectional,186,28,"['page4-142.svg', 'page5-80.svg', 'page2-131.svg', 'page5-155.svg', 'page6-245.svg', 'page8-18.svg', 'page7-217.svg', 'page6-107.svg', 'page7-177.svg', 'page6-109.svg']",4.0,"An upside down image of a man in a trench coat and top hat sitting on an invisible bench, top hat in bottom left, feet in top right.",28.0,35.0,"(52,)",page6-245.svg,True
6oDZZokaTPbFbFyxq,gw6BFwXSEj5NWYWip,4,0,page4-190.svg,False,1.0,high,single-utterance-unidirectional,101,56,"['page3-61.svg', 'page7-202.svg', 'page4-190.svg', 'page2-16.svg', 'page7-126.svg', 'page7-166.svg', 'page1-95.svg', 'page5-96.svg', 'page5-153.svg', 'page7-127.svg']",11.0,"looks like an animal with 3 spiky hairs, facing right",10.0,22.0,"(33,)",page4-190.svg,True
RgiXtnKrXiiHQZpcz,cANx58KrcmE6ey8wn,15,2,page1-133.svg,False,0.5444444444444445,low,single-utterance-unidirectional,135,51,"['page1-77.svg', 'page8-183.svg', 'page6-206.svg', 'page6-121.svg', 'page6-135.svg', 'page7-79.svg', 'page1-133.svg', 'page4-5.svg', 'page7-202.svg', 'page7-20.svg']",4.0,Coffin,1.0,7.0,"(12,)",page1-133.svg,True
KCgt2qJ7K79xySLRm,XX52XkxwQYYukNsaK,0,0,page1-48.svg,False,1.0,high,single-utterance-unidirectional,53,49,"['page7-44.svg', 'page7-55.svg', 'page6-206.svg', 'page1-48.svg', 'page8-38.svg', 'page5-45.svg', 'page9-40.svg', 'page1-133.svg', 'page-F.svg', 'page4-195.svg']",8.0,A tent,2.0,12.0,"(29,)",page1-48.svg,True
QhN3JTKAjnfQb6DXS,Y34esgb5PdLFpRLRp,16,2,page6-122.svg,False,0.5666666666666667,low,single-utterance-unidirectional,96,108,"['page1-172.svg', 'page8-246.svg', 'page6-122.svg', 'page7-202.svg', 'page1-107.svg', 'page3-201.svg', 'page8-159.svg', 'page2-140.svg', 'page7-55.svg', 'page4-142.svg']",4.0,house with chimney,3.0,8.0,"(15,)",page6-122.svg,True
AxdskuDf9fuWiKCFc,jXQcfbDcLcnx923qr,22,3,page7-15.svg,False,0.5935185185185186,low,single-utterance-unidirectional,227,129,"['page5-153.svg', 'page8-169.svg', 'page3-12.svg', 'page6-71.svg', 'page7-15.svg', 'page6-160.svg', 'page7-20.svg', 'page9-39.svg', 'page5-84.svg', 'page5-66.svg']",6.0,mountains,1.0,8.0,"(13,)",page7-15.svg,True
Xmax5bZuQDhSqPMLq,pFdxQkNbQJpYeJRfo,21,3,page4-180.svg,False,0.6944444444444445,low,single-utterance-unidirectional,154,17,"['page8-246.svg', 'page7-125.svg', 'page6-160.svg', 'page5-85.svg', 'page1-185.svg', 'page5-139.svg', 'page4-180.svg', 'page5-154.svg', 'page7-177.svg', 'page7-126.svg']",3.0,butterfly,1.0,6.0,"(9,)",page4-180.svg,True
h3DszyAzWvDeNDqFi,w3GKuMAc7Mk9NvKv2,2,0,page8-169.svg,False,1.0,high,single-utterance-unidirectional,8,223,"['page6-208.svg', 'page5-165.svg', 'page7-41.svg', 'page8-169.svg', 'page8-38.svg', 'page5-86.svg', 'page7-125.svg', 'page2-20.svg', 'page3-33.svg', 'page7-107.svg']",12.0,A C,2.0,13.0,"(26,)",page8-169.svg,True
